2021-03-10 18:00:00.984 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:02:42.561 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:22:26.566 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:23:54.499 get_url_test.py[39] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:24:05.711 get_url_test.py[39] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:25:53.926 get_url_test.py[32] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:26:05.159 get_url_test.py[32] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:27:21.358 get_url_test.py[31] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:27:32.636 get_url_test.py[31] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 18:27:43.908 get_url_test.py[31] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 20:03:21.825 get_url_test.py[39] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 20:06:07.639 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 20:06:19.014 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 20:11:12.179 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
2021-03-10 20:11:52.360 get_url_test.py[38] current_tab_url -> Find Control Timeout: {Depth: 1, ControlType: EditControl}
